city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,1800,ВАЗ 2109,1.5,http://rst.ua/oldcars/vaz/2109/vaz_2109_5113265.html,,48000,4WD,,1988,,41900,,Manual,Petrol,
,10550,MITSUBISHI Lancer,1.5,http://rst.ua/oldcars/mitsubishi/lancer/mitsubishi_lancer_5112244.html,,75000,4WD,,2011,,245500,,Automatic,Petrol,
,1750,ВАЗ 2106,1.5,http://rst.ua/oldcars/vaz/2106/vaz_2106_5112292.html,,185000,4WD,,1990,,40800,,Manual,Petrol,
,18700,VOLKSWAGEN Passat,2.0,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_5068414.html,,118000,4WD,,2013,,435100,,Automatic,Diesel,
,6600,BRILLIANCE M2,1.8,http://rst.ua/oldcars/brilliance/m2/brilliance_m2_5110209.html,,115000,4WD,,2006,,153600,,Manual,LPG/Petrol,
,8450,HYUNDAI i10,1.2,http://rst.ua/oldcars/hyundai/i10/hyundai_i10_4929643.html,,51000,4WD,,2009,,196700,,Automatic,Petrol,
,3200,KIA Clarus,1.8,http://rst.ua/oldcars/kia/clarus/kia_clarus_5110201.html,,260000,4WD,,1998,,74500,,Manual,Petrol,
,6900,SKODA Octavia,1.6,http://rst.ua/oldcars/skoda/octavia/skoda_octavia_5104719.html,,160000,4WD,,2004,,160600,,Manual,Petrol,
,3750,ВАЗ 2115,1.6,http://rst.ua/oldcars/vaz/2115/vaz_2115_5085777.html,,76000,4WD,,2007,,87300,,Manual,LPG/Petrol,
,15300,VOLKSWAGEN Passat,2.0,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_5064693.html,,41000,4WD,,2006,,356000,,Manual,Petrol,
,20500,MITSUBISHI Pajero,3.0,http://rst.ua/oldcars/mitsubishi/pajero/mitsubishi_pajero_5038849.html,,100000,4WD,,2007,,477000,,Automatic,Petrol,
